Comment,Likes,Dislikes
He is a crook...Sena is not an ideological party bt a party of a family...uts high time sensa to be dissolved,18,1
SS has lost its image. Even meeky surrender will not go back to times,18,0
More time Sena takes more it will loose portfolios as at the end will have to go with BGP is when.. Dy Cm post will also not get.. Whatever left will have to be will be with Sena. Arrogance has done damage to Sena and more with time will result into.. No damage is for BGP as BGP remained watchful for all these with numbers with them.. Jai Hind..,17,0
"NEXT TIME BJP WILL SURE DUMP SHIV SENA
THACKEREY IS ACTING LIKE SHAMELESS PROSTITUTE",17,1
BJP should dump Sena but they will not do so as they are also power hungry crooks just like any other political party.,17,10
The main culprit behind all the problem is Sanjay Raut for making an alliance with BJP / NDA. He is a tendency to leaning towards communist ideology and Uddhav is not having any command to over rule his suggestions. Hence even after an alliance with SS & BJP it will be a volatile one due to Sanjay Raut''s crooked ideology.,16,0
"let's all wish Maharashtra get president rule.
under the circumstances, BJP will never again join with Shive Sena, there after Shive Sena become irrelevant same as MNS.
this people has never ever work for people of Maharashtra, forget about India.",15,0
Shiv sena will soon loose its voter base if it goes against BJP,14,0
Impose Prez rule immidiately,14,0
Aagayi aukaat par🤣,14,0
Coalition dharma or drama?,13,0
"cm post is not a business ceo to be shared.the demand of sharing cm post
untenable.",13,3
"BJP should be prepared to sit in the opposition, if required. BJP should take a firm stance and make it clear to SS that
1) CM position will not be shared
2) Ministerial positions will at best be proportional to seats
3) If SS delays the agreement, SS share of ministerial positions will be reduced
4) Since SS delayed, Dy CM position is off the table. BJP should also review whether to reduce ministerial berths.",13,2
Shivsena was destined to finish & eventually it will finish !,13,0
"BJP made the biggest mistake of joining hands with the greedy, power hungry, corrupt Shav Sena and now paying the price for it. Of late Amit Shah has been making a lot of mistakes may be due to over load if being the Home Minister as well as the party President",13,0
"BJP, continue the same stand. Every chance, this sena itself will split. Days are not far off. This Matoshree occupants will become normal citizens and don’t live in the past glory, thinking they are US president family running Maharastra from the Bandra Whithouse. The hooligans of bandra whitehouse will also stop talking about political darma.",12,0
Not a single comment from Maharashtrians indicating that they want Thakre clan to be next chief minister,12,0
"If BJP would have contested on all seats, it would have been forming govt on its own. It failed to read people mind before elections.",12,0
"After learning that Sena will not be entertained in the Congis-NCP house, or even if it gets a chance, it will not be given any preferred post, Sena is coming to terms with the hard truth that they dont have any other choice other than fielding second fiddle to BJP in formation of Government. If they approach Congis-NCP they will play into their hands and shall be party to many scams - in the event of any such scams by the expert group - and ultimately lose faith of the Public which will put the ... Read More",12,1
BJP can only talk after Raut stops blabbering which he does without a break..Udhav should send him to an asylum asap and things will clear off automatically..!!,11,0
SS deserves a kick on it's back.,11,1
I cannot believe the inaptitude and stupidity of uddhav thakare. He is licking boots of ant-inational congress and soniya ganghi. Uddjav needs a lesson in history. He is maligning the name of Shivaji...Trying his best to be a traitor like congress. Congress will like the company of UT,10,2
"after getting tight slaps from ncp and no response from congrass, morally corrupt and selfish party shiv sena, seems to be licking its wounds which are nothing but self inflicted...(लौट के बुद्धू घर को आए), ""Laut ke Budhu ghar ko aaye""...BJP should kick them out, they r capable of doing drama daily and embarrass the govt, because they r shameless, it does not affect them one bit, but it spoils the govt image with such a rascaile ally.....",10,0
Kindly stop your drama because you already have got a bad name. immediately form the government with BJP and start work and give results,10,0
"Raut, Modi cornered Mehabooba,Naidu,Omar ,Farukh Abdulla and made the whole world corner Pakistan.Who are you to play such foolish games with BJP.Apni aukat me raho.",10,2
Nautanki by Shiv Sena,10,0
BJP should not budge an inch!,9,1
Sanjai Rait hai Sena ka Shakuni.......LoLLLL,8,0
B J P should decide to sit in the opposition. Let SS form the government with the help of congress and NCP and then let the drama begin. If there is a marriage of convenience and opportunism result will be well known. Indian politics is replete with such examples.,8,1
"Why Uddhav had never mentioned. before the election that 50:50 ministership with 2.5 year CM seat sharing? He sat like a fox, waited the situation and the situation is ripe to pluck the fruit..",8,0
The Alliance which fought to gather Projecting Devendra Fadnavis as CM Candidate has got the clear majority mandate then also there is delay in forming a Government is it a coalition Dharma?,8,0
"Next time if BJP teams up with this party, nobody will vote for them.",8,0
Do not form Govt with SS .they are worst ! Black mailers,8,0
"Does he mean ""Coalition Drama""? Because that's what they are known for. Everything will be settled after they have their ""Pound of flesh. """,8,0
shiv sena is not a reliable party,8,0
"So sad , we have voted to see those drama !!!!!, disgusted, when will those political parties come out from power hungery situation. Please focus for good govornance so that those who has elected you can see better days.",8,0
Pls make up your mind first and stop making yoyo statements. You are nothing without BJP and sincerely wish that you should form Govt. with the help of NCP & Cong then only you will know your right place & value which is zero,8,0
SS suffers because of poor advisors like raut,7,1
"next course of action
1. President rule
2. re election, this time without any alliance
3. throw these extortionists from centre as well",7,1
BJP should try to form a government on its own! Shiv Sena is a unworthy ally whose greed will one day cause its downfall!,7,0
Shiv Sena present stand is like a wife black mailing her husband if you don''t buy me a necklace I will elope with the neighbour.,7,1
Sanjay Raut has proved now to be the most shameless Shiv Sainik of Maharshtra !!! For all his big talk and is now whimpering as he now knows that NCP will never align with him and his party,7,0
pls tell some one to shut this man mouth.....BJP made mistake to making alliance with shivsena.....if they contested individually and result many different.....shivsena now a days they are not reliable...every time they play game marathi manus...but marathi mansala sagal kalatay....,7,0
Everyone knows SS is a party of mental fellows ....No wait age should be given to them .....,7,1
"Dharma !!! A new word from this liar and un-reliable M P is poison to hear. Go to the corrupt congress, NCP and the mussi''s. You will be digging your own grave. BJP will DUMP like a HOT iron in a few day''s.",7,0
Raut the villain. Uddhavv the joker. Aaditya the idiot. Shiv sena the failure due to these three. Raj sly smile and not in poll but in toll.,7,0
"Final time to teach a lesson to ever aggressive Shiv Sena, BJP should ignore them completely and prepare to sit in the opposition. It's better to leave such ignorant incompetent good for nothing party alone!!",7,0
Modi talks very high of BJP. Where are morals left in politics. Look at Haryana and now in Maharashtra. Does Modiji has time to bring political or electoral reforms apart from world touring.,7,8
It s clear that there is no love without fear....the corrupt mentality of Ashiv Sena has been exposed....,7,0
SANJAY RAUT AND UDDHAV HAVE INFLICTED SELF DAMAGE TO SHIV SENA PERMANENTLY,6,0
"Raut has multiple tongues and speak differently from morning to night. He spews venom on PM in the morning in the editorial and speaks differently in the afternoon. He has lost complete credibility and should keep quiet. Sena doesn't have guts to announce that alliance with BJP is over as they will lose Mumbai corporation where they are in power due to the mercy of BJP. Secondly, the moment they say that alliance is over, NCP and Cong will roll over Sena and they will be finished. Thirdly, most ... Read More",6,0
SANJAY RAUT HAS SHAMED BAL THAKREY AND HIS SHIV SENA BY BECOMING A GREAT BIG MOUTH NON SENSIBLE PERSON WHO IS GOING TO SINK SHIV SENA AND FUTURE CHANCES TO GET ANY ALLIANCE WITH LIKEMINDED PARTY.,6,0
"BJP made mistake for not fighting at all seat of Maharashtra, if they would have fought all seat they would have got more seat.",6,0
What is dharma? Where was it for so many days? Just because NCP said going to sit in opposition your temperature has come down?,6,0
"This Two headed Snake is changing his Versions on hourly basis. No.1 Backstabber of SS. Sometime he goes to meet Sharad Pawar, then again goes & meets Congis & say that we have the numbers. You Disgusting fellow his you have got the Numbers without talking to them. Senile Fool.",6,0
The sena goons r folding. !!! Thats all. If they had the numbers as this fool always claimed then why not form the govt already. The truth is NO ONE wants to ally with the sena. Not after their backstabbing of their ideological partner for decades.,6,0
"My friend Sanjay, Sena got my vote because BJP. Had you not had this alliance; you would not have even got 20 seats. So shut up and except what BJP is giving you. Do not hold Maharashtra hostage.",6,0
"1. BJP
2. SS
3. NCP
4. Congi
5. Others
lesson for voters, if you vote for regional parties then always see such kind of drama.",6,0
"Wonder who runs the Sena, the tikky Thackrey or the rabbly Raut",6,0
Sena has not followed the coalition dharma but playing drama,6,0
"SS is rejected by Congress and NCP so now no choice!!!
Do what BJP says!!!",6,0
"If BJP has to succeed in Maharashtra, it has to break the alliance with SS who has been needling them since long. BJP should have seen Sena''s desperation and frustration and accordingly, contested alone in all 288 seats. It''s certain, they would have formed the government now.",6,0
"Too much of non sense, BJP shoukd write to Governor thst they are unable to form the government. Otgers will try, if nothing is possible, Maharashtra will come under Central Rule. But di not bow before SS who are Cheats.",6,0
"In the last 5 and a half years, Shivsena never followed the path of coalition dharma, instead they were always very vehemently looking for paths and excuses for back stabbing the coalition partner from every possible angle and perspective!! Its the other partner''s greatness that the alliance is still alive, but the end must arrive, better the sooner!!",6,0
"Can Shiv Sena govern on their own ??
lets say if bjp agrees to support them from outside abd asks them to form the government on their own , can they manage to tun the state for 5 years on their own ??? If not they should act as a responsible stake holder and support bjp",6,0
"Motormouth now changing colors and talking about dharma.
..
Even chameleon will accept defeat and commit suicide seeing Raut",6,0
"Only guilty person is Sanjay Raut. He is overwise with extra vision. People like him are spoilers, besharam and good for nothing.",6,0
stop crying 17 less seats as compare to 2014 but also fought on only 150 seats so hit rate is 70% its better than last time. plz improve your knowledge,6,1
Senas will never be pardoned if they decide to go with the CON PARTIES.,6,1
SS should join hands with congress to strengthen family rule concept & prove SS is ready for anything for power.,6,0
"Shiv Sena always stood for moral high grounds during Balasaheb time. It was never seen as power hungry and people knew they need to be respected and feared at the same time. Shiv Sena is not BJP and they need to understand that. You can''t be in power and opposition at the same time. If BJP ditches Sena, that is going to be a dead end for them. BJP will also suffer but being a national party they can overcome such outcomes. BJP should teach them a lesson this time.",6,1
So TIGER turned to CAT,6,0
Hope wiser counsel will prevail and SS will not go astray by greed. SS must know that distant hill looks beautiful but you go near it you realise your folly. Hence don't leave the hand of BJP which rescues you all the time.,6,0
"Without any numbers, without getting any mandate SS wants power.They cannot understand that people don''t want them.Even NCP and Congress with a better than expected performance in election have enough understanding to say that that performed well but the people want us in opposition not in power. And SS..they think they should get power after a bad performance in election. A lot of people voted for them.only due to their alliance with BJP . If there was no alliance they would not have very muc ... Read More",6,0
"Kitna bada C hi ye.Can't understand from where he speaks is it mouth or G.Because all he speaks seems to be garbage. Anyway Dharma is not a forte of Politicians, it is a tool to fool .",6,0
Everyone knows that Shiv Sena will compromise in the end after all its hard posturing.It was real Tiger during Bal Thackerey''s timer but today it is only a paper Tiger.,6,0
Cheap sentimental talk. Better BJP sit in the opposition and watch the drama,6,0
BJP without blackmailer SS is very good for Maharashtra.,5,0
Why does this man talk so much ?,5,0
"Raut is a mole of NCP and Congress. By Finishing SS, Congress and NCP can fight BJP on eqal footing and even defeat. Raut is assigned to uproot SS.",5,0
These sena fellows are all power hungry but doesn't respect the mandate given by the people.,5,0
"SS should be ashamed to ask for CM post. They won 56 seats only because of their alliance with BJP. Had they gone alone, they would not have got even 30 seats.",5,0
All SS MLA should resign and dare to fight election again for 56 seats without coalition with BJP and face the true picture,5,0
"it is time to liberate India from dynasties
BJP must go alone",5,0
Kick SS from NDA....,5,0
This sanjay raut is congress agent in shivsena.,5,0
"Idiot, if you were following coalition dharma, what were you doing with Congress and NCP through back channel talks ?? You were following the bikhari dharma, of negotiating with Congress & NCP, that CM should be from SS and that too navsikhya Aditya Thackeray but NCP never accepted even Congress with yes no dialogue. Sharam se doob maro Sanjay Raut a crooked negotiator used by Uddhav !!",5,0
The SS has become a ship lost its way in the middle of the sea without a sailor and at last going to be drowned. Kudos Sanjay Raut.,5,1
Pappu No. 2 desperate to be CM after Pappu 1 failed to be PM,5,0
"SS got 56 seats with the help of Bjp, but Ss betrayed BJP by not giving wholehearted support resulting in less number of seats than last time. This is a stategically calculated plan by the SS to pressure on the major partner. BJP should form the govt and I believe majority of the SS MLAs will desert Sena.",5,0
"SS won because of maha yuti with BJP. people voted for Modi ji.as PM and fadnavis as CM,who provided corruption free Maharashtra. SS as single party ruling BMC has given pot holes on roads and piled up Garbage along most of locality and roads.they got about just 50 seats.in state election and Mr Sanjay Rout wants CM ship for Thakre sibling. hope wiser councel shall prevail upon Sena legislators.who would dare to speak against Rout,who is bent upon to destroy his small party controlled by Thak ... Read More",5,0
Shame on SS as they are losing even the little leftover reputation in the eyes of general public because of THEIR behavior with BJP and the VOTERS.,5,0
"Bitten more than they can chew ? Sensing that the public mood is definitely against the party, Shiv Sena would try to lick its wounds, give all kinds of vague platitudes, talk about coalition dharma and fall at BJP''s feet, if it has any sense and if it wants to stay relevant in politics. Shiv Sena has proved that it is only a power hungry outfit and not a real party which wants to serve the state.",5,0
Some fellows talk one word in the morning and another we word in the evening. No morals.,5,0
Current SS leaders are just tarnishing Bal Thackeray's image and stature... useless predecessors,5,1
"I think SS is behaving like a street dog. They themself finished their value, which was created by Balasaheb. They must realize, with 50% of BJP seats they can''t claim CM post. They don''t have people''s support, and after this drama it will be finished.",5,0
Due to Alliance BJP had not stand their candidate if BJP would had gone solo Shiv Sena would not got even 5 seats in this election. People had voted you bcoz your alliance with BJP. Already lost seats in Bandra in their home turf... we already seen what type of progress made in BMC,5,0
"With dung on his face ( after Shark Pawar asserted that he will sit in the opposition), this man still keeps opening his foul mouth talking about coalition Adharma (he thinks Adharma is Dharma)! After all the barking and braying till Monday plus writing some fancy rubbish in Saamna, this Raut will tuck his tail between you know what and start begging for extra cabinet berths for SS from Fadnavis. Dump this party and go for re-election. Sena will not get even single digit seats next time around s ... Read More",5,0
"BJP MUST break the link with this communal, parochial, ugly, labour class party called Shiv Sena, truly back-stabbers, snake-in-the-grass, crass party to the core. Shiv Sena by itself is powerless, they rely upon their meagre vote bank to cretae rukus within the system, they being Maharashtrians can not even must a simple majority EVER, shame on them for demanding more than they can give and/or chew. Debunk this complexed, wobbled people, that is, once and for all!!!",5,0
Did Shiv Sena ever mentioned in its manifesto and Assembly election campaign that they will share CM post for equal term....,5,0
Power hungry SS can go to any level betraying the voters who voted it on the basis of alliance with BJP. Even if they get support of Congress there's zero possiblity of the Govt completing its tenure.,5,2
"Sena is a downright crook. changing color every day - if they wanted to have the coalition agreement they would have been a junior partner in the Govermnet and Gov. would have been formed by now, SS want to talk to cong and ncp, they want CM''s post - what''s all this nonsense? It was SS who''s threatening and putting up all these hurdles. SS dont deserve to be with BJP.",5,1
Shivsena have no option rather than going with BJP to form a government in Maharashtra. It is just a traditional Shivsena strategy to pressurize BJP and get more ministerial posts or half. Economically no party affords re-election or re-campaigning in Maharashtra. The current drama will end in 2-3 days.,4,0
He is talking from both sides of his mouth. One side with NCP and other side with BJP!,4,0
This shameless Sanjay Raut is making mockery of Shivsena. This man has stuck to Thackerays as Editor of Saamna & simultaneously also enjoyed being a Rajya sabha MP from Shivsena..He is no public figure and has no public support to fight elections.,4,0
"I think its time to call the bluff of Sena. Even if they form gov with NCP Congress, BJP should let that happen. In the long run, its good for Maharastra politics and BJP. Sena''s attitude is totally un-ethical as they were in alliance with BJP.",4,1
"If sena had gone ahead without the alliance woth BJP, BJP would have got a majority in the assembly. Hope BJP realises that and ignore sena in the future. Voters wont forget this power crazy anti people party called sena.",4,0
If u adhere to coalition dharma then why all this drama..BJP is major party and they shud be having their CM for full term and accept deputy CM for Aditya. Let him become mature and experienced in politics and social service. Don't ruin his career that has just started. We need young people like him but ofcourse after gaining sufficient experience,4,0
Sanjay Raut is Sheikh Rashid ( pak Rly. Minister) of Shiv Sena.,4,1
"A cartoon was posted by Mr. Bagga of BJP, Mumbai had shown the Fadnavis as the ring master prompting SS tiger to jump through the ring and the tiger showing reluctance. The ring master is singing the song ""Aakhir tumhein aanaa hai, zara der lagegi"". Slowly but surely that is coming true.",4,0
Sanjay Rout is acting like Shakuni and definitely will sink Shiv Sena in Hind Mahasagar. He is a wicked soul and black spot in political arena of Great Mahrashtra state.,4,0
"Sanjay Rout is trying to emulate like a king maker ,in the process he will become a laughing stock, because ultimately if congis or NCP support SS to form government, they Will withdraw support to force midterm elections in state.he should know that Indian voters have rejected dynasty politics.and SS will also face the same future likes of Pappu.'s Cong . Akhilesh SP and lalu s two sons.",4,0
Coalition Dharma is understood after Sharad Pawar rebuke.,4,0
Sena’s greed is exposed.......,4,0
clearly SS is power hungry and have compromised values of Founding Father by promoting family over COMPETENCE and talking to NCP &INC for support to form GOVT.,4,0
a tiger without teeth. lol,4,0
The bunch of rowdies that are members of feudal party SS could not get enough number from the market.,4,0
Money dharma for corrupt sena.,4,0
What happened to you suddenly you shameless person Sanjay Raut? You were barking for the last few days... What happened now?,4,0
"All this drama is due to the fact that Uddhav had promised his father Bal Thackeray that one from the Thackeray family will definitely be made the CM of Maharashtra some day. And given Sena's lack of competence in governance and growing unpopularity among the State's electorate, Uddhav knows that they can never get another opportunity. It is 'Now or Never.' So he is trying to convert a 1/3 rd chance into a victory, by hook or by crook by 'piggybacking' BJP. Maybe to just fulfill his promise, the ... Read More",4,0
One man who is going to absolutely loose his credibility at the end will be Raut as sooner or later SS is compelled to join BJP led government.,4,0
He got it all wrong. TDP were always an ally of BJP. They were a part of the Vajpayee govt too. Its just that Chandrababu Naidu got too greedy just like the Shiv Sena is getting now and their wings had to be clipped and thrown out. Shiv Sena without BJP will meet the same fate as TDP.,4,0
Useless and a moronic blackmailer. Only defined by his hatred towards BJP & Modi. Hopefully will finish SS.,4,0
"Shameless ruffians. Thought he would be welcomed by NCP. The wily fox knows smarter. The rudderless leader less Congress anyway is dumbstruck everywhere. The SS doesn't even have a boot to lick. Now the BJP should beat them down, show them their place in the corner and only throw crumbs at them. Take it or leave it. But the BJP won't do it. They are too politically correct",4,0
A SS govt with Cong/NCP support will decimate these 3 parties in next elections. SS needs a hard kick at the back by BJP.,4,0
"The one and only front runner to spoil the whole SS is Sanjay rout. shiv sen, a must cut his wings. keep a paper weight. must be vigil.",4,0
"Seems he is leading the SS now. Is Samana the mouthpiece of SS or the other way round? How does SS claim 50:50 partnership when they have won almost half number of less seats than BJP? Clearly, at the most are the junior partners as per voters choice.",4,0
Let SS form the government with congress and sharad pawar let them decide among them who will get what BJP should enjoy their fight,4,0
People has voted SS as they are with BJP otherwise what work they have done for Mumbai and whole Maharashtra its known to everyone. BJP should dump SS now.,4,0
Dump SS is the only way BJP can help Maharashtra to develop .,4,0
"SS joining congress is a suicide for them, and people mandate is for BJP and SS and in that mandate also Maharastra people have given BJP a leading role, SS should understant that hard work of BJP and smartness of their leader have made them get such position.",4,0
it will be Senas loss. NCP and BJP will join and form the govt.,4,0
Sena man Raut is double-tongued. He has a forked tongue and is always engaged in double speaking. He is playing the Blow Hot Blow Cold game. This shameless guy should be taught a proper lesson by BJP.,4,0
SS is still trying kiss up to BJP and opposition as well.,4,1
India is spared from khichdi sarkar had bjp restricted below majority on its own in 2019. Fate of maharashtra government (if formed) hangs on amount of torture CM can handle.,4,0
"The arrangement done in Karnataka by JDS and Congress , putting Kumaraswami in CM’s chair although he is a poor 3rd in election results, has created in the minds of opposition a different formula permanently. That is why SS is demanding chief minister’s seat. But note that they had to dissolve the marriage in 13 months. Same fate will be awaiting SS. disgusting.",4,0
Sena is just proving its voters wrong. Their worst fears have come true. It looks likely that the state will be looted once again by the Sena NCP Congress thieves combined together.,4,0
"My foot,coalition dharma.Stop blabbering.Let there be president's rule.",4,0
Sanjay Raut is spoiling the bjp /ss alliance by saying all kinds of cheap talk against alliance partner bjp .SS is acting like tail wagging the dog . now bjp is in a fix in the end it might be bjp CM and deputy CM from sena.,4,0
"Coalition Dharma? Laughable...For a moment, Aditya Thackeray became Saindhava to block Pandavas(minus Arjun) Fadnavis, Ramdas Athavale into Padma vyuha.",4,0
Langoorrrr in now lickingggg his own sppittttt😁😁😁👋👋,4,0
#DumpShivSena.,4,0
Sanjay Raut wld never know when BJP wld snoop in Sena''s ministers and take into BJP clan informally.,4,1
BJP fought on 150 seats and won 107 !!! Shiv Sena fought on 124 seats and won 56 !!! BJP'S winning percentage is 71.33% whereas Shiv Sena's winning percentage is 45.16% !!! Still they want CM ship for 2.5 years...Baap Uddhav ko bete Aditya Thackeray ke career ki bahut chinta ho rahi hai !!!,4,1
History of Hindus can be seen in behavior of Shiv Sena. Don't support Hindus and be greedy for power to rule,4,2
BJP did a mistake this time thinking that this party will stand by them after the election. seats should not have been shared. BJP should have fought all seats. this party has always ditched. Now Sanjay will slowly change. Congress and NCP are waiting to take advantage. Mr. Saha needs to remember this,3,0
U Turn after NCP refused to support,3,1
Shiv Sena is now like a prostitute in red light area pretending to be a virgin! BJP will now treat him nothing more than that even if she returns home.,3,0
This man changes his views and statements like a chamelion,3,0
SS should be left aside by all political parties and in the coming days all alliance with it should have a deaf ear.The present drama of SS is being observed by people all over the country and now it is certain that in the next elections SS voting would drop down considerably.,3,0
Everyone in Maharashtra knows that it will be suicidal for SS to join hands with their arch rivals NCP & Congress. Further its high time that BJP dumps SS to teach them a lesson.,3,0
"From last one week still they (BJP & SHIVENA) unable to solve their own problem of CM.
How they solve problems of ordinary people or state",3,1
sanjay raut is damaging the shivsena by illogical comments. Aditya Thakre will be Rahul Gandhi for Shivsena.,3,1
"अमित शाह to फड़नवीस - मैटर तुम निपटा लोगे कि मैं इंटरफियर करूँ ?
फड़नवीस - इनको तो मैं सुलट लूँगा आप शरद पवार को देख लो।
अमित शाह - ओके
थोड़ी देर बाद शरद पवार बोले - लोग चाहते हैं एनसीपी विपक्ष में बैठे...",3,0
This is the high time that BJP should seriously reconsider their alliances.,3,0
Dont Simply Talk..... Do it... If ShivSena has Guts !!,3,0
Nowadays I've started to think even Udhav Thackeray is a fake leader otherwise before this I use to think he was a good respectable Marathi leader who respected people's mandate.,3,0
The cunning SS is spitting filth and exposing its mess all over instead directly talking to its natural partner. Ask anyone in the country who approves of Sena becoming the CM. Next time BJP should not join hands with SENA and a permanent leson should be taught.,3,0
As the news of Presidents rule is coming forward Sena's motor mouth Raut bhais gha@ is pphating.He is the main culprit for the pathetic position of sena today.,3,1
"very nice !!! you are Chief Sinister !!! please get lost and never stoke fire of C M post for a political novice aged just 27 .
B J P must not have any truck with his party",3,0
"Ha Ha Haaaa, “Dharma” in our Politics- Belly Aching Laughter😇🤣. I scratch your back, You scratch my Back- the Great and Sacred and Holy Dharma of Politics.",3,1
Loot ke Budhu ghar ko aaye,3,0
"Had there been no alliance with BJP, Shiv Sena could have won just 15-20 seats. This is simply posturing and soon Shiv Sena will accept whatever is given by BJP.",3,0
BJP strike rate is 70 % this time as it fought 162 seats and won 105. Last time strike rate was below 50% as it foughts all the seats and won 122 seats.How people are telling that BJP TALLY HAS COME DOWN. There is no logic and only negative thinking for BJP.,3,0
"Indeed! If Raut means what he says, SS as junior partner of the alliance should abide its place and accept share of power on 56: 106 basis and get on with new govt formation, not indulge in bad mouthing and making impossible demands that its strength in assembly doesn''t call for.",3,0
"Just a mention of President’s rule by the BJP, more than 40-45 MLAs of the Shav Sena will dump the Shav Sena and join the BJP as they will not be willing to go for another elections in 6 months",3,0
"Aditya's prospects of becoming Chief Minister is much more in the company of NCP and Congress. Its because Shiv Sena has more number of MLAs than the other two. But, NCP and Congress would definitely turn around to say, ' CM post for your ward! All other portfolios for us'.
Father and son duo can be proud of achieving at a younger age than what Gowdas' did in Karnataka. Anyway, end result is is going to be same. Best of luck.
Regards
Prabhakar",3,0
hajmola chahiye? Sanjay raut,3,0
THE END of Shiv Sena ERA! The back stabber shameless Party.,3,0
What a drama is being played by SS! Eventually they know that they will have to come together with BJP. Next time BJP should fight alone without them.,3,0
"UT is behaving like ""Dhritrashtra"" for the sake of his son AT",3,0
This looks more like husband and wife fighting before going to bed.,3,0
BJP should have faught all 288 seats then this problem wouldn't have occurred as BJP strike rate this time is much more than 2014,3,0
It''s high time that BJP dump ShivSena and fight elections on its own.,3,0
"What is not tangible is BJP''s soft attitude in dealing with Sena? Now sena must be put in its place once for all besides conveying all idiotic statements will no more be tolerated. Yes, ideologically Sena is good ally but she can not demand unreasonably.",3,0
BJP should now talk only if Sanjay Raul is sacked..or else tell SS to go to hell!..will be good riddance!,3,0
"gutter mouth raut is going rock bottom of his AND party's charter,",3,0
"सेना का पप्पू को अगर CM नही बनाओ गे तो सेना मुम्बई मैं दंगे कर सकती है,, यही इनका इतिहास हैं।",3,0
you don't even know how to blackmail you bloody blabkmailer.,3,0
Let there be Governor''s rule for 1 year and re elections. SS will get lesser seats next time.,3,0
Now suddenly talking about coalition Dharma? First they should decide either CM post or re-election 😂,3,0
"Blow hot, blow cold so that you can extract the maximum from the other party. Is that the coalition dharma ?",3,0
whosoever comes to power doesn't make any difference for the people of maharashtra sab key sab chor hey,3,0
He is oversmart and overrated person.,3,0
"November 7th is the deadline for BJP and Sena to form government in Maharashtra. Failure to form a government will result in implementing Presidents rule in Maharashtra. So what is Presidents rule ?
""In India, president's rule is the suspension of state government and imposition of direct central government rule in a state. Under Article 356 of the Constitution of India, in the event that a state government is unable to function according to constitutional provisions, the Central government ... Read More",3,0
What a mess you are creating mr sanjay rout. Now that mr pawar has rejected your manipulation you are talking of coalition dharma. You just wanted to suck the system and you have no dharma towards people of maharashtra?,3,0
A Great Blackmailer,3,0
"Sanjay Raut is such a shameless person. After NCP said no to the support, now this person is completely talking reverse. BJP should not ally with such an opportunist for the sake of power.",3,0
लगता है कि जैसे इसकी सारी हेक्डी टाय टाय फिज़्ज हो गई .,3,0
